name,Recall@k
BM25 -> TAS-B rerank (k=50),0.8918888888888888
BM25 -> TAS-B rerank (k=75),0.9108888888888889
BM25 -> TAS-B rerank (k=100),0.9226666666666667
BM25 -> TAS-B rerank (k=125),0.9293333333333333
BM25 -> TAS-B rerank (k=150),0.936
BM25 -> TAS-B rerank (k=175),0.9366666666666666
BM25 -> TAS-B rerank (k=200),0.9433333333333334
BM25 -> TAS-B rerank (k=225),0.9433333333333334
BM25 -> TAS-B rerank (k=250),0.9433333333333334
BM25 -> TAS-B rerank (k=275),0.9466666666666667
BM25 -> TAS-B rerank (k=300),0.95
BM25 -> TAS-B rerank (k=325),0.9566666666666667
BM25 -> TAS-B rerank (k=350),0.9566666666666667
BM25 -> TAS-B rerank (k=375),0.9583333333333334
BM25 -> TAS-B rerank (k=400),0.9583333333333334
BM25 -> TAS-B rerank (k=425),0.9583333333333334
BM25 -> TAS-B rerank (k=450),0.9583333333333334
BM25 -> TAS-B rerank (k=475),0.965
BM25 -> TAS-B rerank (k=500),0.97
BM25 -> TAS-B rerank (k=525),0.97
BM25 -> TAS-B rerank (k=550),0.97
BM25 -> TAS-B rerank (k=575),0.97
BM25 -> TAS-B rerank (k=600),0.97
BM25 -> TAS-B rerank (k=625),0.97
BM25 -> TAS-B rerank (k=650),0.97
BM25 -> TAS-B rerank (k=675),0.97
BM25 -> TAS-B rerank (k=700),0.97
BM25 -> TAS-B rerank (k=725),0.97
BM25 -> TAS-B rerank (k=750),0.97
BM25 -> TAS-B rerank (k=775),0.97
BM25 -> TAS-B rerank (k=800),0.97
