name,RR@10,nDCG@10,AP@100,R@100
BM25,0.6324272486772485,0.6721667420411603,0.626748723422958,0.9226666666666667
BM25 -> TAS-B rerank (k=50),0.6117566137566135,0.6430902401736566,0.6042461117972969,0.8918888888888888
BM25 -> TAS-B rerank (k=75),0.6048452380952379,0.6341920823338989,0.5994869523305257,0.9108888888888889
BM25 -> TAS-B rerank (k=100),0.6026600529100526,0.6326150467282565,0.597293349083312,0.9226666666666667
BM25 -> TAS-B rerank (k=125),0.5999656084656083,0.6298327038153081,0.5943415156141204,0.9293333333333333
BM25 -> TAS-B rerank (k=150),0.6005079365079365,0.6280605687101057,0.5955157322206326,0.921
BM25 -> TAS-B rerank (k=175),0.6000965608465608,0.6273498366024747,0.5947215676970719,0.9116666666666666
BM25 -> TAS-B rerank (k=200),0.5999391534391534,0.6271995682649805,0.5943588913426447,0.9116666666666666
BM25 -> TAS-B rerank (k=225),0.5993280423280422,0.6259877876073694,0.5937304210114064,0.905
BM25 -> TAS-B rerank (k=250),0.5985224867724867,0.625313395327302,0.5926564521583506,0.8916666666666667
BM25 -> TAS-B rerank (k=275),0.5977447089947089,0.6246531549460966,0.5917114325503138,0.8916666666666667
BM25 -> TAS-B rerank (k=300),0.5958320105820105,0.6232103564486426,0.589718508530621,0.895
BM25 -> TAS-B rerank (k=325),0.595276455026455,0.6227739239367378,0.5893723249901448,0.8983333333333333
BM25 -> TAS-B rerank (k=350),0.5949431216931217,0.6218103745156782,0.5892353795339665,0.8983333333333333
BM25 -> TAS-B rerank (k=375),0.5948373015873016,0.621702696723447,0.5890451994294156,0.8983333333333333
BM25 -> TAS-B rerank (k=400),0.5948002645502645,0.6216628128256266,0.5889300789371316,0.8983333333333333
BM25 -> TAS-B rerank (k=425),0.5948002645502645,0.6216628128256266,0.5887608162716501,0.8983333333333333
BM25 -> TAS-B rerank (k=450),0.5947261904761904,0.6215830450299861,0.5886546720643806,0.8983333333333333
BM25 -> TAS-B rerank (k=475),0.5948690476190476,0.6217306067200375,0.5891451848668078,0.9016666666666666
BM25 -> TAS-B rerank (k=500),0.5947579365079363,0.6222832247894656,0.5894268406684922,0.9066666666666666
BM25 -> TAS-B rerank (k=525),0.5947579365079363,0.6222832247894656,0.5893101732852642,0.9033333333333333
BM25 -> TAS-B rerank (k=550),0.5947579365079363,0.6222832247894656,0.5892587405573517,0.9033333333333333
BM25 -> TAS-B rerank (k=575),0.591424603174603,0.619822756479942,0.5858474254188825,0.9
BM25 -> TAS-B rerank (k=600),0.591345238095238,0.6197465103006929,0.5856940109429557,0.8966666666666666
BM25 -> TAS-B rerank (k=625),0.591345238095238,0.6197465103006929,0.5856710682639846,0.8966666666666666
BM25 -> TAS-B rerank (k=650),0.5909656084656084,0.6187348446092276,0.5854776630233602,0.8933333333333333
BM25 -> TAS-B rerank (k=675),0.5909656084656084,0.6187103899092424,0.5853630360094855,0.8916666666666667
BM25 -> TAS-B rerank (k=700),0.5892989417989418,0.6174801557544807,0.5836802384058466,0.8916666666666667
BM25 -> TAS-B rerank (k=725),0.5892989417989418,0.6174801557544807,0.58363509387197,0.8916666666666667
BM25 -> TAS-B rerank (k=750),0.5892989417989418,0.6174801557544807,0.5835941460893779,0.8916666666666667
BM25 -> TAS-B rerank (k=775),0.5892989417989418,0.6174801557544807,0.5835670816522881,0.8916666666666667
BM25 -> TAS-B rerank (k=800),0.5892394179894179,0.61739473456285,0.5833894785500869,0.8916666666666667
